user_id,first_name,last_name,age,city,plan,cant_mensajes,cant_caracteres,cant_llamadas,cant_min_llamada,year,reg_date,churn_date,limite_cant_llamadas,limite_cant_min_llamada,limite_cant_mensajes,limite_cant_caracteres
10000,Carlos,Garcia,38.0,Medellín,Basico,7,258.0,3,23.700000000000003,2022.0,2022-01-01 00:00:00+00:00,,3,23.700000000000003,7,258.0
10001,Mateo,Torres,53.0,Desconocido,Basico,5,226.0,10,33.18,2022.0,2022-01-01 06:34:17.914478619+00:00,,10,33.18,5,226.0
10002,Sofia,Ramirez,57.0,CDMX,Basico,5,225.0,2,10.74,2022.0,2022-01-01 13:08:35.828957239+00:00,,2,10.74,5,225.0
10003,Mateo,Ramirez,69.0,Bogotá,Premium,11,530.0,3,8.99,2022.0,2022-01-01 19:42:53.743435858+00:00,,3,8.99,11,530.0
10004,Mateo,Torres,63.0,GDL,Basico,4,229.0,3,8.01,2022.0,2022-01-02 02:17:11.657914478+00:00,,3,8.01,4,229.0
10005,Luis,Garcia,61.0,MTY,Basico,5,231.0,7,44.97,2022.0,2022-01-02 08:51:29.572393098+00:00,,7,44.97,5,231.0
10006,Sofia,Lopez,39.0,Bogotá,Basico,3,185.0,5,28.39,2022.0,2022-01-02 15:25:47.486871717+00:00,,5,28.39,3,185.0
10007,Sofia,Gomez,70.0,Medellín,Premium,3,131.0,5,30.23,2022.0,2022-01-02 22:00:05.401350337+00:00,,5,30.23,3,131.0
10008,Sofia,Garcia,76.0,CDMX,Basico,5,240.0,5,28.85,2022.0,2022-01-03 04:34:23.315828957+00:00,,5,28.85,5,240.0
10009,Mateo,Torres,47.0,Bogotá,Basico,5,227.0,3,5.99,2022.0,2022-01-03 11:08:41.230307576+00:00,,3,5.99,5,227.0
10010,Carlos,Gomez,67.0,Bogotá,Basico,7,373.0,7,24.12,2022.0,2022-01-03 17:42:59.144786196+00:00,,7,24.12,7,373.0
10011,Sofia,Ramirez,60.0,Bogotá,Premium,10,550.0,3,6.51,2022.0,2022-01-04 00:17:17.059264816+00:00,,3,6.51,10,550.0
10012,Mariana,Lopez,48.0,Medellín,Premium,6,271.0,1,3.33,2022.0,2022-01-04 06:51:34.973743435+00:00,,1,3.33,6,271.0
10013,Mateo,Ramirez,78.0,MTY,Premium,9,398.0,5,23.93,2022.0,2022-01-04 13:25:52.888222055+00:00,,5,23.93,9,398.0
10014,Luis,Torres,77.0,Desconocido,Basico,8,437.0,6,14.37,2022.0,2022-01-04 20:00:10.802700675+00:00,,6,14.37,8,437.0
10015,Carlos,Gomez,47.0,Bogotá,Basico,4,275.0,5,27.27,2022.0,2022-01-05 02:34:28.717179294+00:00,,5,27.27,4,275.0
10016,Mariana,Torres,25.0,Bogotá,Basico,3,133.0,2,18.310000000000002,2022.0,2022-01-05 09:08:46.631657914+00:00,,2,18.310000000000002,3,133.0
10017,Mariana,Gomez,51.0,Cali,Basico,4,194.0,4,10.739999999999998,2022.0,2022-01-05 15:43:04.546136534+00:00,,4,10.739999999999998,4,194.0
10018,Luis,Garcia,74.0,GDL,Basico,6,339.0,4,12.97,2022.0,2022-01-05 22:17:22.460615153+00:00,,4,12.97,6,339.0
10019,Carlos,Lopez,64.0,CDMX,Basico,5,297.0,5,28.41,2022.0,2022-01-06 04:51:40.375093773+00:00,,5,28.41,5,297.0
